ISTANTE,Anno,Mese,Giorno,Data,VM
202001010000,2020,01,01,2020/01/01,1.3
202001020000,2020,01,02,2020/01/02,2.8
202001030000,2020,01,03,2020/01/03,2.4
202001040000,2020,01,04,2020/01/04,2.9
202001050000,2020,01,05,2020/01/05,2.5
202001060000,2020,01,06,2020/01/06,2.2
202001070000,2020,01,07,2020/01/07,1.7
202001080000,2020,01,08,2020/01/08,1.0
202001090000,2020,01,09,2020/01/09,0.8
202001100000,2020,01,10,2020/01/10,1.3
202001110000,2020,01,11,2020/01/11,2.6
202001120000,2020,01,12,2020/01/12,3.1
202001130000,2020,01,13,2020/01/13,2.4
202001140000,2020,01,14,2020/01/14,1.9
202001150000,2020,01,15,2020/01/15,1.9
202001160000,2020,01,16,2020/01/16,1.9
202001170000,2020,01,17,2020/01/17,3.2
202001180000,2020,01,18,2020/01/18,1.5
202001190000,2020,01,19,2020/01/19,2.7
202001200000,2020,01,20,2020/01/20,3.9
202001210000,2020,01,21,2020/01/21,2.5
202001220000,2020,01,22,2020/01/22,1.9
202001230000,2020,01,23,2020/01/23,1.6
202001240000,2020,01,24,2020/01/24,2.2
202001250000,2020,01,25,2020/01/25,1.3
202001260000,2020,01,26,2020/01/26,1.9
202001270000,2020,01,27,2020/01/27,1.9
202001280000,2020,01,28,2020/01/28,0.8
202001290000,2020,01,29,2020/01/29,1.5
202001300000,2020,01,30,2020/01/30,1.9
202001310000,2020,01,31,2020/01/31,1.6
202002010000,2020,02,01,2020/02/01,1.9
202002020000,2020,02,02,2020/02/02,1.0
202002030000,2020,02,03,2020/02/03,0.9
202002040000,2020,02,04,2020/02/04,2.7
202002050000,2020,02,05,2020/02/05,3.4
202002060000,2020,02,06,2020/02/06,1.8
202002070000,2020,02,07,2020/02/07,2.0
202002080000,2020,02,08,2020/02/08,1.9
202002090000,2020,02,09,2020/02/09,1.5
202002100000,2020,02,10,2020/02/10,1.0
202002110000,2020,02,11,2020/02/11,2.5
202002120000,2020,02,12,2020/02/12,1.8
202002130000,2020,02,13,2020/02/13,2.4
202002140000,2020,02,14,2020/02/14,2.2
202002150000,2020,02,15,2020/02/15,2.0
202002160000,2020,02,16,2020/02/16,1.8
202002170000,2020,02,17,2020/02/17,1.4
202002180000,2020,02,18,2020/02/18,1.0
202002190000,2020,02,19,2020/02/19,3.4
202002200000,2020,02,20,2020/02/20,2.2
202002210000,2020,02,21,2020/02/21,2.2
202002220000,2020,02,22,2020/02/22,1.5
202002230000,2020,02,23,2020/02/23,1.5
202002240000,2020,02,24,2020/02/24,1.6
202002250000,2020,02,25,2020/02/25,0.6
202002260000,2020,02,26,2020/02/26,3.6
202002270000,2020,02,27,2020/02/27,1.6
202002280000,2020,02,28,2020/02/28,2.3
202002290000,2020,02,29,2020/02/29,2.4
202003010000,2020,03,01,2020/03/01,1.6
202003020000,2020,03,02,2020/03/02,4.6
202003030000,2020,03,03,2020/03/03,3.7
202003040000,2020,03,04,2020/03/04,2.8
202003050000,2020,03,05,2020/03/05,2.3
202003060000,2020,03,06,2020/03/06,2.3
202003070000,2020,03,07,2020/03/07,2.2
202003080000,2020,03,08,2020/03/08,2.0
202003090000,2020,03,09,2020/03/09,2.0
202003100000,2020,03,10,2020/03/10,1.6
202003110000,2020,03,11,2020/03/11,2.3
202003120000,2020,03,12,2020/03/12,0.9
202003130000,2020,03,13,2020/03/13,1.4
202003140000,2020,03,14,2020/03/14,4.1
202003150000,2020,03,15,2020/03/15,2.4
202003160000,2020,03,16,2020/03/16,1.8
202003170000,2020,03,17,2020/03/17,1.6
202003180000,2020,03,18,2020/03/18,2.1
202003190000,2020,03,19,2020/03/19,2.6
202003200000,2020,03,20,2020/03/20,2.2
202003210000,2020,03,21,2020/03/21,1.9
202003220000,2020,03,22,2020/03/22,3.6
202003230000,2020,03,23,2020/03/23,3.7
202003240000,2020,03,24,2020/03/24,2.6
202003250000,2020,03,25,2020/03/25,4.3
202003260000,2020,03,26,2020/03/26,0.9
202003270000,2020,03,27,2020/03/27,1.1
202003280000,2020,03,28,2020/03/28,2.2
202003290000,2020,03,29,2020/03/29,1.7
202003300000,2020,03,30,2020/03/30,4.1
202003310000,2020,03,31,2020/03/31,3.4
202004010000,2020,04,01,2020/04/01,1.7
202004020000,2020,04,02,2020/04/02,2.0
202004030000,2020,04,03,2020/04/03,2.0
202004040000,2020,04,04,2020/04/04,2.6
202004050000,2020,04,05,2020/04/05,2.2
202004060000,2020,04,06,2020/04/06,2.6
202004070000,2020,04,07,2020/04/07,2.7
202004080000,2020,04,08,2020/04/08,2.2
202004090000,2020,04,09,2020/04/09,2.8
202004100000,2020,04,10,2020/04/10,2.7
202004110000,2020,04,11,2020/04/11,2.4
202004120000,2020,04,12,2020/04/12,2.1
202004130000,2020,04,13,2020/04/13,1.7
202004140000,2020,04,14,2020/04/14,4.3
202004150000,2020,04,15,2020/04/15,1.9
202004160000,2020,04,16,2020/04/16,1.6
202004170000,2020,04,17,2020/04/17,1.5
202004180000,2020,04,18,2020/04/18,1.7
202004190000,2020,04,19,2020/04/19,1.8
202004200000,2020,04,20,2020/04/20,4.6
202004210000,2020,04,21,2020/04/21,2.4
202004220000,2020,04,22,2020/04/22,4.2
202004230000,2020,04,23,2020/04/23,2.1
202004240000,2020,04,24,2020/04/24,2.2
202004250000,2020,04,25,2020/04/25,1.9
202004260000,2020,04,26,2020/04/26,2.0
202004270000,2020,04,27,2020/04/27,1.0
202004280000,2020,04,28,2020/04/28,2.1
202004290000,2020,04,29,2020/04/29,1.9
202004300000,2020,04,30,2020/04/30,2.4
202005010000,2020,05,01,2020/05/01,1.8
202005020000,2020,05,02,2020/05/02,1.9
202005030000,2020,05,03,2020/05/03,2.6
202005040000,2020,05,04,2020/05/04,2.0
202005050000,2020,05,05,2020/05/05,1.5
202005060000,2020,05,06,2020/05/06,2.7
202005070000,2020,05,07,2020/05/07,1.6
202005080000,2020,05,08,2020/05/08,2.0
202005090000,2020,05,09,2020/05/09,1.6
202005100000,2020,05,10,2020/05/10,2.4
202005110000,2020,05,11,2020/05/11,2.7
202005120000,2020,05,12,2020/05/12,1.6
202005130000,2020,05,13,2020/05/13,1.0
202005140000,2020,05,14,2020/05/14,2.1
202005150000,2020,05,15,2020/05/15,1.7
202005160000,2020,05,16,2020/05/16,2.7
202005170000,2020,05,17,2020/05/17,1.5
202005180000,2020,05,18,2020/05/18,1.9
202005190000,2020,05,19,2020/05/19,2.4
202005200000,2020,05,20,2020/05/20,1.7
202005210000,2020,05,21,2020/05/21,1.6
202005220000,2020,05,22,2020/05/22,1.7
202005230000,2020,05,23,2020/05/23,1.7
202005240000,2020,05,24,2020/05/24,2.0
202005250000,2020,05,25,2020/05/25,2.5
202005260000,2020,05,26,2020/05/26,2.7
202005270000,2020,05,27,2020/05/27,1.8
202005280000,2020,05,28,2020/05/28,2.1
202005290000,2020,05,29,2020/05/29,2.3
202005300000,2020,05,30,2020/05/30,1.7
202005310000,2020,05,31,2020/05/31,2.2
202006010000,2020,06,01,2020/06/01,2.1
202006020000,2020,06,02,2020/06/02,2.1
202006030000,2020,06,03,2020/06/03,1.9
202006040000,2020,06,04,2020/06/04,2.2
202006050000,2020,06,05,2020/06/05,2.0
202006060000,2020,06,06,2020/06/06,2.2
202006070000,2020,06,07,2020/06/07,1.9
202006080000,2020,06,08,2020/06/08,2.2
202006090000,2020,06,09,2020/06/09,1.7
202006100000,2020,06,10,2020/06/10,1.9
202006110000,2020,06,11,2020/06/11,1.6
202006120000,2020,06,12,2020/06/12,2.2
202006130000,2020,06,13,2020/06/13,1.6
202006140000,2020,06,14,2020/06/14,1.6
202006150000,2020,06,15,2020/06/15,1.3
202006160000,2020,06,16,2020/06/16,1.9
202006170000,2020,06,17,2020/06/17,2.0
202006180000,2020,06,18,2020/06/18,2.0
202006190000,2020,06,19,2020/06/19,2.4
202006200000,2020,06,20,2020/06/20,2.6
202006210000,2020,06,21,2020/06/21,4.0
202006220000,2020,06,22,2020/06/22,3.4
202006230000,2020,06,23,2020/06/23,3.3
202006240000,2020,06,24,2020/06/24,3.7
202006250000,2020,06,25,2020/06/25,2.6
202006260000,2020,06,26,2020/06/26,1.1
202006270000,2020,06,27,2020/06/27,1.3
202006280000,2020,06,28,2020/06/28,2.0
202006290000,2020,06,29,2020/06/29,2.1
202006300000,2020,06,30,2020/06/30,1.3
202007010000,2020,07,01,2020/07/01,1.5
202007020000,2020,07,02,2020/07/02,2.9
202007030000,2020,07,03,2020/07/03,3.7
202007040000,2020,07,04,2020/07/04,2.1
202007050000,2020,07,05,2020/07/05,1.9
202007060000,2020,07,06,2020/07/06,2.8
202007070000,2020,07,07,2020/07/07,4.3
202007080000,2020,07,08,2020/07/08,1.6
202007090000,2020,07,09,2020/07/09,1.9
202007100000,2020,07,10,2020/07/10,2.0
202007110000,2020,07,11,2020/07/11,3.1
202007120000,2020,07,12,2020/07/12,2.3
202007130000,2020,07,13,2020/07/13,2.5
202007140000,2020,07,14,2020/07/14,1.8
202007150000,2020,07,15,2020/07/15,2.4
202007160000,2020,07,16,2020/07/16,2.3
202007170000,2020,07,17,2020/07/17,2.8
202007180000,2020,07,18,2020/07/18,2.2
202007190000,2020,07,19,2020/07/19,1.6
202007200000,2020,07,20,2020/07/20,1.8
202007210000,2020,07,21,2020/07/21,2.8
202007220000,2020,07,22,2020/07/22,2.9
202007230000,2020,07,23,2020/07/23,2.4
202007240000,2020,07,24,2020/07/24,3.2
202007250000,2020,07,25,2020/07/25,2.1
202007260000,2020,07,26,2020/07/26,2.3
202007270000,2020,07,27,2020/07/27,2.1
202007280000,2020,07,28,2020/07/28,1.9
202007290000,2020,07,29,2020/07/29,2.2
202007300000,2020,07,30,2020/07/30,1.9
202007310000,2020,07,31,2020/07/31,3.0
202008010000,2020,08,01,2020/08/01,2.4
202008020000,2020,08,02,2020/08/02,2.6
202008030000,2020,08,03,2020/08/03,2.9
202008040000,2020,08,04,2020/08/04,6.3
202008050000,2020,08,05,2020/08/05,3.4
202008060000,2020,08,06,2020/08/06,2.1
202008070000,2020,08,07,2020/08/07,2.2
202008080000,2020,08,08,2020/08/08,2.9
202008090000,2020,08,09,2020/08/09,2.6
202008100000,2020,08,10,2020/08/10,2.1
202008110000,2020,08,11,2020/08/11,2.7
202008120000,2020,08,12,2020/08/12,2.2
202008130000,2020,08,13,2020/08/13,2.2
202008140000,2020,08,14,2020/08/14,3.4
202008150000,2020,08,15,2020/08/15,2.6
202008160000,2020,08,16,2020/08/16,2.1
202008170000,2020,08,17,2020/08/17,2.1
202008180000,2020,08,18,2020/08/18,2.1
202008190000,2020,08,19,2020/08/19,2.2
202008200000,2020,08,20,2020/08/20,1.8
202008210000,2020,08,21,2020/08/21,1.6
202008220000,2020,08,22,2020/08/22,2.6
202008230000,2020,08,23,2020/08/23,4.1
202008240000,2020,08,24,2020/08/24,2.6
202008250000,2020,08,25,2020/08/25,1.9
202008260000,2020,08,26,2020/08/26,1.9
202008270000,2020,08,27,2020/08/27,2.0
202008280000,2020,08,28,2020/08/28,2.8
202008290000,2020,08,29,2020/08/29,2.8
202008300000,2020,08,30,2020/08/30,3.0
202008310000,2020,08,31,2020/08/31,2.4
202009010000,2020,09,01,2020/09/01,1.4
202009020000,2020,09,02,2020/09/02,2.8
202009030000,2020,09,03,2020/09/03,2.8
202009040000,2020,09,04,2020/09/04,2.3
202009050000,2020,09,05,2020/09/05,2.0
202009060000,2020,09,06,2020/09/06,2.1
202009070000,2020,09,07,2020/09/07,4.0
202009080000,2020,09,08,2020/09/08,2.3
202009090000,2020,09,09,2020/09/09,2.2
202009100000,2020,09,10,2020/09/10,1.8
202009110000,2020,09,11,2020/09/11,2.1
202009120000,2020,09,12,2020/09/12,2.1
202009130000,2020,09,13,2020/09/13,2.3
202009140000,2020,09,14,2020/09/14,2.8
202009150000,2020,09,15,2020/09/15,2.8
202009160000,2020,09,16,2020/09/16,2.6
202009170000,2020,09,17,2020/09/17,3.3
202009180000,2020,09,18,2020/09/18,2.2
202009190000,2020,09,19,2020/09/19,1.2
202009200000,2020,09,20,2020/09/20,1.5
202009210000,2020,09,21,2020/09/21,1.8
202009220000,2020,09,22,2020/09/22,1.8
202009230000,2020,09,23,2020/09/23,1.1
202009240000,2020,09,24,2020/09/24,2.1
202009250000,2020,09,25,2020/09/25,4.2
202009260000,2020,09,26,2020/09/26,2.7
202009270000,2020,09,27,2020/09/27,3.1
202009280000,2020,09,28,2020/09/28,1.6
202009290000,2020,09,29,2020/09/29,1.9
202009300000,2020,09,30,2020/09/30,2.0
202010010000,2020,10,01,2020/10/01,1.5
202010020000,2020,10,02,2020/10/02,4.3
202010030000,2020,10,03,2020/10/03,3.5
202010040000,2020,10,04,2020/10/04,2.4
202010050000,2020,10,05,2020/10/05,1.4
202010060000,2020,10,06,2020/10/06,1.8
202010070000,2020,10,07,2020/10/07,1.8
202010080000,2020,10,08,2020/10/08,2.6
202010090000,2020,10,09,2020/10/09,2.1
202010100000,2020,10,10,2020/10/10,2.2
202010110000,2020,10,11,2020/10/11,8.3
202010120000,2020,10,12,2020/10/12,3.7
202010130000,2020,10,13,2020/10/13,3.3
202010140000,2020,10,14,2020/10/14,2.6
202010150000,2020,10,15,2020/10/15,4.3
202010160000,2020,10,16,2020/10/16,1.4
202010170000,2020,10,17,2020/10/17,1.3
202010180000,2020,10,18,2020/10/18,1.4
202010190000,2020,10,19,2020/10/19,1.6
202010200000,2020,10,20,2020/10/20,1.8
202010210000,2020,10,21,2020/10/21,1.4
202010220000,2020,10,22,2020/10/22,1.3
202010230000,2020,10,23,2020/10/23,0.5
202010240000,2020,10,24,2020/10/24,1.1
202010250000,2020,10,25,2020/10/25,1.6
202010260000,2020,10,26,2020/10/26,2.4
202010270000,2020,10,27,2020/10/27,2.9
202010280000,2020,10,28,2020/10/28,3.4
202010290000,2020,10,29,2020/10/29,2.8
202010300000,2020,10,30,2020/10/30,1.9
202010310000,2020,10,31,2020/10/31,1.4
202011010000,2020,11,01,2020/11/01,1.4
202011020000,2020,11,02,2020/11/02,1.2
202011030000,2020,11,03,2020/11/03,0.6
202011040000,2020,11,04,2020/11/04,0.6
202011050000,2020,11,05,2020/11/05,0.9
202011060000,2020,11,06,2020/11/06,1.3
202011070000,2020,11,07,2020/11/07,2.7
202011080000,2020,11,08,2020/11/08,2.4
202011090000,2020,11,09,2020/11/09,2.8
202011100000,2020,11,10,2020/11/10,2.7
202011110000,2020,11,11,2020/11/11,1.2
202011120000,2020,11,12,2020/11/12,0.8
202011130000,2020,11,13,2020/11/13,1.9
202011140000,2020,11,14,2020/11/14,1.9
202011150000,2020,11,15,2020/11/15,1.8
202011160000,2020,11,16,2020/11/16,1.5
202011170000,2020,11,17,2020/11/17,1.9
202011180000,2020,11,18,2020/11/18,2.5
202011190000,2020,11,19,2020/11/19,2.1
202011200000,2020,11,20,2020/11/20,3.8
202011210000,2020,11,21,2020/11/21,1.6
202011220000,2020,11,22,2020/11/22,2.4
202011230000,2020,11,23,2020/11/23,1.8
202011240000,2020,11,24,2020/11/24,2.4
202011250000,2020,11,25,2020/11/25,2.1
202011260000,2020,11,26,2020/11/26,2.1
202011270000,2020,11,27,2020/11/27,2.1
202011280000,2020,11,28,2020/11/28,2.5
202011290000,2020,11,29,2020/11/29,2.6
202011300000,2020,11,30,2020/11/30,1.6
